Prefix	Brute	Binary	Trie
	9.43931343E-4	6.24475499E-4	1.440576E-5
n_1	0.00321872413	3.7994468E-5	1.87462E-6
n_4	0.003193259197	3.881098E-5	1.7680134E-5
notarealword_7	0.003039311385	1.379074E-6	2.33543E-7
notarealword_1	0.003040646508	1.385483E-6	2.34826E-7
nenk	0.003964832218	8.92513E-7	2.45749E-7
n_7	0.003274157483	3.90865E-5	1.4188025E-5
notarealword_4	0.003099171895	1.3774E-6	2.41367E-7
notarealword	0.003400783235	2.23604E-6	2.0527E-7
n	0.002588406147	3.425947E-5	9.71138E-6
nenk_1	0.003238968565	5.19796E-7	4.91091E-7
_1	0.00374268955	0.001549844148	1.3313762E-5
_4	0.003758821021	0.001502290241	2.6065305E-5
ne	0.002547675705	1.144485E-6	6.874695E-6
_7	0.003766365823	0.001484789494	1.5198666E-5
ne_1	0.003328714059	2.754512E-6	1.200096E-6
nenk_7	0.003245865516	5.15417E-7	3.97621E-7
ne_7	0.003314933838	3.665598E-6	4.777676E-6
nenk_4	0.003205769898	5.03679E-7	4.08794E-7
ne_4	0.003278461114	3.514861E-6	2.621412E-6
	9.43931343E-4	6.24475499E-4	1.440576E-5
n_1	0.00321872413	3.7994468E-5	1.87462E-6
n_4	0.003193259197	3.881098E-5	1.7680134E-5
notarealword_7	0.003039311385	1.379074E-6	2.33543E-7
notarealword_1	0.003040646508	1.385483E-6	2.34826E-7
nenk	0.003964832218	8.92513E-7	2.45749E-7
n_7	0.003274157483	3.90865E-5	1.4188025E-5
notarealword_4	0.003099171895	1.3774E-6	2.41367E-7
notarealword	0.003400783235	2.23604E-6	2.0527E-7
n	0.002588406147	3.425947E-5	9.71138E-6
nenk_1	0.003238968565	5.19796E-7	4.91091E-7
_1	0.00374268955	0.001549844148	1.3313762E-5
_4	0.003758821021	0.001502290241	2.6065305E-5
ne	0.002547675705	1.144485E-6	6.874695E-6
_7	0.003766365823	0.001484789494	1.5198666E-5
ne_1	0.003328714059	2.754512E-6	1.200096E-6
nenk_7	0.003245865516	5.15417E-7	3.97621E-7
ne_7	0.003314933838	3.665598E-6	4.777676E-6
nenk_4	0.003205769898	5.03679E-7	4.08794E-7
ne_4	0.003278461114	3.514861E-6	2.621412E-6
	9.43931343E-4	6.24475499E-4	1.440576E-5
n_1	0.00321872413	3.7994468E-5	1.87462E-6
n_4	0.003193259197	3.881098E-5	1.7680134E-5
notarealword_7	0.003039311385	1.379074E-6	2.33543E-7
notarealword_1	0.003040646508	1.385483E-6	2.34826E-7
nenk	0.003964832218	8.92513E-7	2.45749E-7
n_7	0.003274157483	3.90865E-5	1.4188025E-5
notarealword_4	0.003099171895	1.3774E-6	2.41367E-7
notarealword	0.003400783235	2.23604E-6	2.0527E-7
n	0.002588406147	3.425947E-5	9.71138E-6
nenk_1	0.003238968565	5.19796E-7	4.91091E-7
_1	0.00374268955	0.001549844148	1.3313762E-5
_4	0.003758821021	0.001502290241	2.6065305E-5
ne	0.002547675705	1.144485E-6	6.874695E-6
_7	0.003766365823	0.001484789494	1.5198666E-5
ne_1	0.003328714059	2.754512E-6	1.200096E-6
nenk_7	0.003245865516	5.15417E-7	3.97621E-7
ne_7	0.003314933838	3.665598E-6	4.777676E-6
nenk_4	0.003205769898	5.03679E-7	4.08794E-7
ne_4	0.003278461114	3.514861E-6	2.621412E-6
