Prefix	Brute	Binary	Trie
	3.04667708E-4	1.48087348E-4	1.2872692E-5
a	3.42309766E-4	1.0975477E-5	5.435768E-6
notarealword_7	0.00162826845	6.09442E-7	8.7448E-8
ae	3.49938783E-4	7.76192E-7	3.848923E-6
notarealword_1	0.001475743178	5.97991E-7	9.2231E-8
notarealword_4	0.001533600226	6.14991E-7	8.8896E-8
notarealword	0.001772558083	1.723211E-6	6.1201E-8
aenk	0.002305856501	8.81084E-7	2.15904E-7
aenk_7	0.001618566222	3.84968E-7	3.19504E-7
ae_7	0.001694880363	2.855421E-6	1.028644E-5
_1	0.002009510746	4.84215489E-4	6.147498E-6
a_1	0.001741656899	3.5683232E-5	2.790697E-6
ae_4	0.001591182123	2.38285E-6	5.62084E-6
_4	0.001942365575	4.54176327E-4	1.5592013E-5
a_4	0.001752112679	3.6467631E-5	9.953172E-6
_7	0.001970593221	4.65288745E-4	2.177399E-5
a_7	0.001850403405	3.717969E-5	1.6622541E-5
aenk_1	0.001638096361	3.90726E-7	4.2854E-7
ae_1	0.00171323989	2.021548E-6	2.330596E-6
aenk_4	0.00166746066	3.84876E-7	3.302E-7
	3.04667708E-4	1.48087348E-4	1.2872692E-5
a	3.42309766E-4	1.0975477E-5	5.435768E-6
notarealword_7	0.00162826845	6.09442E-7	8.7448E-8
ae	3.49938783E-4	7.76192E-7	3.848923E-6
notarealword_1	0.001475743178	5.97991E-7	9.2231E-8
notarealword_4	0.001533600226	6.14991E-7	8.8896E-8
notarealword	0.001772558083	1.723211E-6	6.1201E-8
aenk	0.002305856501	8.81084E-7	2.15904E-7
aenk_7	0.001618566222	3.84968E-7	3.19504E-7
ae_7	0.001694880363	2.855421E-6	1.028644E-5
_1	0.002009510746	4.84215489E-4	6.147498E-6
a_1	0.001741656899	3.5683232E-5	2.790697E-6
ae_4	0.001591182123	2.38285E-6	5.62084E-6
_4	0.001942365575	4.54176327E-4	1.5592013E-5
a_4	0.001752112679	3.6467631E-5	9.953172E-6
_7	0.001970593221	4.65288745E-4	2.177399E-5
a_7	0.001850403405	3.717969E-5	1.6622541E-5
aenk_1	0.001638096361	3.90726E-7	4.2854E-7
ae_1	0.00171323989	2.021548E-6	2.330596E-6
aenk_4	0.00166746066	3.84876E-7	3.302E-7
	3.04667708E-4	1.48087348E-4	1.2872692E-5
a	3.42309766E-4	1.0975477E-5	5.435768E-6
notarealword_7	0.00162826845	6.09442E-7	8.7448E-8
ae	3.49938783E-4	7.76192E-7	3.848923E-6
notarealword_1	0.001475743178	5.97991E-7	9.2231E-8
notarealword_4	0.001533600226	6.14991E-7	8.8896E-8
notarealword	0.001772558083	1.723211E-6	6.1201E-8
aenk	0.002305856501	8.81084E-7	2.15904E-7
aenk_7	0.001618566222	3.84968E-7	3.19504E-7
ae_7	0.001694880363	2.855421E-6	1.028644E-5
_1	0.002009510746	4.84215489E-4	6.147498E-6
a_1	0.001741656899	3.5683232E-5	2.790697E-6
ae_4	0.001591182123	2.38285E-6	5.62084E-6
_4	0.001942365575	4.54176327E-4	1.5592013E-5
a_4	0.001752112679	3.6467631E-5	9.953172E-6
_7	0.001970593221	4.65288745E-4	2.177399E-5
a_7	0.001850403405	3.717969E-5	1.6622541E-5
aenk_1	0.001638096361	3.90726E-7	4.2854E-7
ae_1	0.00171323989	2.021548E-6	2.330596E-6
aenk_4	0.00166746066	3.84876E-7	3.302E-7
