Prefix	Brute	Binary	Trie
	3.89661884E-4	3.30170588E-4	1.8017958E-5
kh_4	0.006708724997319035	1.349156E-6	1.701056E-6
k_4	0.006711053857908847	2.9302566E-5	3.536414E-6
k_7	0.006688851199197861	2.0938453E-5	5.782242E-6
notarealword_7	0.0061455549950859955	6.38041E-7	9.2229E-8
notarealword_1	0.006109636792429793	6.47479E-7	9.4665E-8
kh_7	0.0067199084979865775	1.645126E-6	2.6952E-6
notarealword_4	0.006151015	6.80199E-7	9.4154E-8
notarealword	0.007174302282234957	2.128987E-6	2.45289E-7
khombu	0.005593826876957494	2.484571E-6	2.82777E-7
k	4.02964773E-4	8.762503E-6	7.974618E-6
_1	0.00854703694017094	8.69239597E-4	4.917163E-6
_4	0.008359415948247078	8.44791593E-4	1.4941172E-5
_7	0.008326966064891847	8.35552769E-4	1.7659737E-5
khombu_7	0.007235941149059334	1.228166E-6	1.75678E-7
k_1	0.0067091076903485255	2.0252967E-5	1.980082E-6
kh	5.44970137E-4	1.540038E-6	2.686479E-6
khombu_4	0.0071798798407460545	1.202661E-6	1.94913E-7
kh_1	0.006698408925033467	1.063669E-6	1.214275E-6
khombu_1	0.007233885203757225	1.21919E-6	2.8102E-7
	3.89661884E-4	3.30170588E-4	1.8017958E-5
kh_4	0.006708724997319035	1.349156E-6	1.701056E-6
k_4	0.006711053857908847	2.9302566E-5	3.536414E-6
k_7	0.006688851199197861	2.0938453E-5	5.782242E-6
notarealword_7	0.0061455549950859955	6.38041E-7	9.2229E-8
notarealword_1	0.006109636792429793	6.47479E-7	9.4665E-8
kh_7	0.0067199084979865775	1.645126E-6	2.6952E-6
notarealword_4	0.006151015	6.80199E-7	9.4154E-8
notarealword	0.007174302282234957	2.128987E-6	2.45289E-7
khombu	0.005593826876957494	2.484571E-6	2.82777E-7
k	4.02964773E-4	8.762503E-6	7.974618E-6
_1	0.00854703694017094	8.69239597E-4	4.917163E-6
_4	0.008359415948247078	8.44791593E-4	1.4941172E-5
_7	0.008326966064891847	8.35552769E-4	1.7659737E-5
khombu_7	0.007235941149059334	1.228166E-6	1.75678E-7
k_1	0.0067091076903485255	2.0252967E-5	1.980082E-6
kh	5.44970137E-4	1.540038E-6	2.686479E-6
khombu_4	0.0071798798407460545	1.202661E-6	1.94913E-7
kh_1	0.006698408925033467	1.063669E-6	1.214275E-6
khombu_1	0.007233885203757225	1.21919E-6	2.8102E-7
	3.89661884E-4	3.30170588E-4	1.8017958E-5
kh_4	0.006708724997319035	1.349156E-6	1.701056E-6
k_4	0.006711053857908847	2.9302566E-5	3.536414E-6
k_7	0.006688851199197861	2.0938453E-5	5.782242E-6
notarealword_7	0.0061455549950859955	6.38041E-7	9.2229E-8
notarealword_1	0.006109636792429793	6.47479E-7	9.4665E-8
kh_7	0.0067199084979865775	1.645126E-6	2.6952E-6
notarealword_4	0.006151015	6.80199E-7	9.4154E-8
notarealword	0.007174302282234957	2.128987E-6	2.45289E-7
khombu	0.005593826876957494	2.484571E-6	2.82777E-7
k	4.02964773E-4	8.762503E-6	7.974618E-6
_1	0.00854703694017094	8.69239597E-4	4.917163E-6
_4	0.008359415948247078	8.44791593E-4	1.4941172E-5
_7	0.008326966064891847	8.35552769E-4	1.7659737E-5
khombu_7	0.007235941149059334	1.228166E-6	1.75678E-7
k_1	0.0067091076903485255	2.0252967E-5	1.980082E-6
kh	5.44970137E-4	1.540038E-6	2.686479E-6
khombu_4	0.0071798798407460545	1.202661E-6	1.94913E-7
kh_1	0.006698408925033467	1.063669E-6	1.214275E-6
khombu_1	0.007233885203757225	1.21919E-6	2.8102E-7
